,Company Name,Listed Date,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss,Year,Is_Successful
455,Kotyark Industries Ltd,2021-11-02,51,48.45,-0.0005,,0.053676,2021,0
456,D.K. Enterprises Global Limited,2021-10-22,40,43.3,0.000825,,0.007225000000000001,2021,0
457,Samor Reality Limited,2021-10-13,62,62.45,7.3e-05,74.35,0.001992,2021,0
458,CWD Limited,2021-10-13,180,180.6,3.3e-05,1121.95,0.052331,2021,0
459,Adishakti Loha and Ispat Limited,2021-10-13,11,11.4,0.000364,15.7,0.004273,2021,0
460,Dynamic Services & Security Limited,2021-10-13,51,53.55,0.0005,,0.021176,2021,0
461,Destiny Logistics & Infra Limited,2021-10-13,20,19.7,-0.00015,,0.029,2021,0
462,Promax Power Limited,2021-10-12,10,11.55,0.00155,29.25,0.01925,2021,0
463,Bombay Metrics Supply Chain Limited,2021-10-12,93,103.2,0.001097,,-0.004575,2021,0
464,Shri Venkatesh Refineries Limited,2021-10-11,40,42.1,0.000525,209.0,0.04225,2021,0
465,Getalong Enterprise Limited,2021-10-08,69,76.7,0.001116,16.2,-0.007652,2021,0
466,Jainam Ferro Alloys (I) Limited,2021-10-08,70,73.1,0.000443,,0.027429,2021,0
467,Quadpro ITeS Limited,2021-09-30,20,19.85,-7.5e-05,,-0.008075,2021,0
468,SBL Infratech Limited,2021-09-28,111,125.0,0.001261,38.0,-0.006577,2021,0
469,Prevest Denpro Limited,2021-09-27,84,189.55,0.012565,478.0,0.046905,2021,0
470,Markolines Traffic Controls Limited,2021-09-27,78,65.3,-0.001628,161.7,0.010731,2021,0
471,Platinumone Business Services Limited,2021-09-16,92,104.9,0.001402,120.0,0.003043,2021,0
472,BEW Engineering Limited,2021-09-16,58,133.95,0.013095,,0.02069,2021,0
473,Naapbooks Limited,2021-09-15,74,74.0,0.0,137.7,0.008608,2021,0
474,Aashka Hospitals Limited,2021-09-01,121,115.05,-0.000492,97.45,-0.001946,2021,0
475,DU Digital Technologies Limited,2021-08-26,65,63.0,-0.000308,,0.0,2021,0
476,Rex Pipes and Cables Industries Ltd,2021-08-10,26,26.8,0.000308,,0.043654,2021,0
477,Network People Services Technologies Limited,2021-08-10,80,79.9,-1.2e-05,,0.252575,2021,1
478,Gretex Corporate Services Ltd,2021-08-09,170,180.6,0.000624,288.35,0.006962,2021,0
479,AA Plus Tradelink Limited,2021-07-22,18,17.5,-0.000278,0.81,-0.00955,2021,0
480,Focus Business Solution Limited,2021-07-13,19,27.9,0.004684,130.0,0.058421,2021,0
481,Walpar Nutritions Limited,2021-07-13,55,57.0,0.000364,,-0.0005909999999999999,2021,0
482,Times Green Energy (India) Ltd,2021-06-30,61,61.6,9.8e-05,75.0,0.002295,2021,0
483,Adeshwar Meditex Limited,2021-06-28,25,25.15,6e-05,18.2,-0.00272,2021,0
484,Navoday Enterprises Limited,2021-06-25,20,18.55,-0.000725,5.69,-0.007155,2021,0
485,Abhishek Integrations Limited,2021-06-21,50,38.0,-0.0024,,0.006,2021,0
486,Kuberan Global Edu Solutions Limited,2021-05-05,20,22.05,0.001025,35.14,0.00757,2021,0
487,Jetmall Spices and Masala Limited,2021-04-19,20,19.5,-0.00025,12.39,-0.003805,2021,0
